snapshot_date,code,name,asset_type,shares,available,cost_price,last_price,market_value,pnl,pnl_pct,entry_date
20260714,002648.SZ,卫星化学,stock,6700,6700,26.242,23.670,158589.00,-17233.30,-9.800,20260605
20260714,002851.SZ,麦格米特,stock,200,200,162.997,172.160,34432.00,1832.67,5.620,20260623
20260714,127114,宜化转债,bond,10,10,100.000,130.000,1300.00,300.00,30.000,
20260714,300750.SZ,宁德时代,stock,100,100,430.005,364.010,36401.00,-6599.55,-15.350,20260610
20260714,515050.SH,通信ETF华夏,etf,14500,10400,1.226,1.235,17907.50,127.20,0.720,20260702
20260714,516120.SH,化工ETF富国,etf,132100,132100,0.951,0.847,111888.70,-13767.68,-10.960,
20260714,588010.SH,科创新材料ETF博时,etf,28200,28200,1.386,1.248,35193.60,-3893.00,-9.960,
20260714,600118.SH,中国卫星,stock,400,400,85.883,82.130,32852.00,-1501.36,-4.370,20260520
20260714,600160.SH,巨化股份,stock,1400,1400,38.818,42.850,59990.00,5644.32,10.390,20260310
20260714,688733.SH,壹石通,stock,200,200,40.785,38.370,7674.00,-483.08,-5.920,20260625
20260714,CASH,现金,cash,,,,,24257.00,,,
