腿,date,side,why,price,amount,frac
沪深300,20081103,买,锚买(收盘/中位线=0.99),1653.542,20.710644370374943,0.2
沪深300,20090401,卖,卖出闸(收盘/中位线=1.31),2548.222,1.5958264023159252,0.05
沪深300,20090504,卖,卖出闸(收盘/中位线=1.36),2714.301,1.6148418543011132,0.05
沪深300,20090601,卖,卖出闸(收盘/中位线=1.41),2858.342,1.6155105055524113,0.05
沪深300,20090701,卖,卖出闸(收盘/中位线=1.59),3237.903,1.738533386430555,0.05
沪深300,20090803,卖,卖出闸(收盘/中位线=1.83),3787.033,1.9317098568775994,0.05
沪深300,20090901,卖,卖出闸(收盘/中位线=1.35),2843.7,1.3780030842093767,0.05
沪深300,20091009,卖,卖出闸(收盘/中位线=1.40),3163.708,1.4564192469180943,0.05
沪深300,20091102,卖,卖出闸(收盘/中位线=1.49),3392.803,1.4837894049297151,0.05
沪深300,20091201,卖,卖出闸(收盘/中位线=1.57),3560.831,1.4794101352238898,0.05
沪深300,20100104,卖,卖出闸(收盘/中位线=1.56),3535.229,1.3953346655009873,0.05
沪深300,20100201,卖,卖出闸(收盘/中位线=1.38),3152.707,1.1821376490474138,0.05
沪深300,20100301,卖,卖出闸(收盘/中位线=1.40),3324.423,1.1841979956196986,0.05
沪深300,20100401,卖,卖出闸(收盘/中位线=1.40),3391.935,1.1478342247237152,0.05
沪深300,20110822,买,锚买(收盘/中位线=0.99),2777.787,21.502267241547653,0.2
沪深300,20110905,买,锚买(收盘/中位线=0.99),2743.817,17.214875493076274,0.2
沪深300,20110913,买,锚买(收盘/中位线=0.97),2720.283,13.777875019250159,0.2
沪深300,20110919,买,锚买(收盘/中位线=0.97),2679.27,11.025886151000615,0.2
沪深300,20110926,买,锚买(收盘/中位线=0.95),2610.919,8.824057160438668,0.2
沪深300,20111010,买,锚买(收盘/中位线=0.92),2557.082,7.0646059624457695,0.2
沪深300,20111017,买,锚买(收盘/中位线=0.94),2666.951,5.653830084481689,0.2
沪深300,20111024,买,锚买(收盘/中位线=0.89),2576.669,4.524780970674781,0.2
沪深300,20111031,买,锚买(收盘/中位线=0.96),2695.307,3.6211988203847003,0.2
沪深300,20111107,买,锚买(收盘/中位线=0.99),2736.248,2.89805870864065,0.2
沪深300,20111114,买,锚买(收盘/中位线=0.96),2750.195,2.3193270227111324,0.2
沪深300,20111121,买,锚买(收盘/中位线=0.93),2609.687,1.8561659300550426,0.2
沪深300,20111128,买,锚买(收盘/中位线=0.92),2573.321,1.4854964074318948,0.2
沪深300,20111205,买,锚买(收盘/中位线=0.92),2521.385,1.188848227823915,0.2
沪深300,20111212,买,锚买(收盘/中位线=0.90),2477.692,0.9514396007483183,0.2
沪深300,20111219,买,锚买(收盘/中位线=0.86),2384.408,0.7614406050207762,0.2
沪深300,20111226,买,锚买(收盘/中位线=0.85),2335.702,0.6093837112922278,0.2
沪深300,20120104,买,锚买(收盘/中位线=0.84),2298.753,0.4877449059826652,0.2
沪深300,20120109,买,锚买(收盘/中位线=0.82),2368.57,0.39030171468185615,0.2
沪深300,20120116,买,锚买(收盘/中位线=0.86),2345.649,0.3123598949783615,0.2
沪深300,20120130,买,锚买(收盘/中位线=0.90),2460.72,0.2500776611450878,0.2
沪深300,20120206,买,锚买(收盘/中位线=0.91),2504.322,0.2001380701988117,0.2
沪深300,20120213,买,锚买(收盘/中位线=0.92),2531.981,0.16017123224639238,0.2
沪深300,20120220,买,锚买(收盘/中位线=0.92),2540.706,0.1281856251229112,0.2
沪深300,20120227,买,锚买(收盘/中位线=0.96),2656.573,0.10258742632930964,0.2
沪深300,20120305,买,锚买(收盘/中位线=0.97),2662.698,0.08210109386899188,0.2
沪深300,20120312,买,锚买(收盘/中位线=0.97),2654.402,0.06570580679982611,0.2
沪深300,20120319,买,锚买(收盘/中位线=0.95),2630.013,0.05258459837459761,0.2
沪深300,20150105,卖,卖出闸(收盘/中位线=1.40),3641.541,8.472572880133677,0.05
沪深300,20150202,卖,卖出闸(收盘/中位线=1.36),3353.96,7.413300306161729,0.05
沪深300,20150302,卖,卖出闸(收盘/中位线=1.41),3601.265,7.5619255986106095,0.05
沪深300,20150401,卖,卖出闸(收盘/中位线=1.60),4123.895,8.22637540091001,0.05
沪深300,20150504,卖,卖出闸(收盘/中位线=1.87),4787.741,9.07308916665237,0.05
沪深300,20150601,卖,卖出闸(收盘/中位线=1.90),5076.179,9.138713530711843,0.05
沪深300,20150701,卖,卖出闸(收盘/中位线=1.75),4253.021,7.2739325250639375,0.05
沪深300,20150803,卖,卖出闸(收盘/中位线=1.49),3829.2354,6.2216762922348385,0.05
沪深300,20150901,卖,卖出闸(收盘/中位线=1.31),3362.0827,5.1895218339846,0.05
沪深300,20151102,卖,卖出闸(收盘/中位线=1.37),3475.9623,5.097034982946571,0.05
沪深300,20151201,卖,卖出闸(收盘/中位线=1.38),3591.696,5.003405863206226,0.05
沪深300,20160104,卖,卖出闸(收盘/中位线=1.44),3469.0662,4.590947802008862,0.05
沪深300,20161201,卖,卖出闸(收盘/中位线=1.32),3565.036,4.482056144926938,0.05
沪深300,20170703,卖,卖出闸(收盘/中位线=1.34),3650.8463,4.360442135351182,0.05
沪深300,20170801,卖,卖出闸(收盘/中位线=1.36),3770.3828,4.2780517016416715,0.05
沪深300,20170901,卖,卖出闸(收盘/中位线=1.38),3830.5383,4.128991583531695,0.05
沪深300,20171009,卖,卖出闸(收盘/中位线=1.38),3882.2076,3.9754523223607086,0.05
沪深300,20171101,卖,卖出闸(收盘/中位线=1.44),3996.6221,3.887984140413041,0.05
沪深300,20171201,卖,卖出闸(收盘/中位线=1.43),3998.1365,3.6949845065527156,0.05
沪深300,20180102,卖,卖出闸(收盘/中位线=1.43),4087.4012,3.5886068173914842,0.05
沪深300,20180201,卖,卖出闸(收盘/中位线=1.51),4245.8978,3.54137364873214,0.05
沪深300,20180301,卖,卖出闸(收盘/中位线=1.42),4049.0863,3.2083582294536637,0.05
沪深300,20180402,卖,卖出闸(收盘/中位线=1.37),3886.9189,2.9258691838779245,0.05
沪深300,20180502,卖,卖出闸(收盘/中位线=1.31),3763.6461,2.6914220762006935,0.05
沪深300,20180601,卖,卖出闸(收盘/中位线=1.32),3770.5891,2.5615677326358126,0.05
沪深300,20180807,买,恐慌抢买(fear=83),3368.8695,68.48543509877332,0.5
沪深300,20181009,买,恐慌抢买(fear=80),3288.6906,34.3598786038853,0.5
沪深300,20190401,卖,卖出闸(收盘/中位线=1.30),3973.928,8.679960483250275,0.05
沪深300,20190506,卖,卖出闸(收盘/中位线=1.31),3684.6168,7.645637215602315,0.05
沪深300,20200102,卖,卖出闸(收盘/中位线=1.33),4152.2408,8.185166080008974,0.05
沪深300,20200203,卖,卖出闸(收盘/中位线=1.30),3688.3578,6.907193363574122,0.05
沪深300,20200701,卖,卖出闸(收盘/中位线=1.34),4247.7835,7.5570892013363435,0.05
沪深300,20200803,卖,卖出闸(收盘/中位线=1.50),4771.3108,8.064055114097624,0.05
沪深300,20200901,卖,卖出闸(收盘/中位线=1.54),4842.1223,7.774547833182674,0.05
沪深300,20201009,卖,卖出闸(收盘/中位线=1.47),4681.1412,7.140271604585046,0.05
沪深300,20201102,卖,卖出闸(收盘/中位线=1.50),4720.8313,6.840771390821322,0.05
沪深300,20201201,卖,卖出闸(收盘/中位线=1.58),5067.0983,6.975406647313026,0.05
沪深300,20210104,卖,卖出闸(收盘/中位线=1.65),5267.7181,6.889002342497595,0.05
沪深300,20210201,卖,卖出闸(收盘/中位线=1.70),5417.6484,6.730823901246144,0.05
沪深300,20210301,卖,卖出闸(收盘/中位线=1.69),5418.7837,6.395622665631248,0.05
沪深300,20210401,卖,卖出闸(收盘/中位线=1.59),5110.7768,5.730487072958684,0.05
沪深300,20210506,卖,卖出闸(收盘/中位线=1.62),5061.1244,5.3910733396523955,0.05
沪深300,20210601,卖,卖出闸(收盘/中位线=1.68),5341.6798,5.4054229887735525,0.05
沪深300,20210701,卖,卖出闸(收盘/中位线=1.65),5229.6642,5.02746715288583,0.05
沪深300,20210802,卖,卖出闸(收盘/中位线=1.51),4933.736,4.505831540189484,0.05
沪深300,20210901,卖,卖出闸(收盘/中位线=1.51),4869.4587,4.224772578914758,0.05
沪深300,20211008,卖,卖出闸(收盘/中位线=1.53),4929.9409,4.0633849453309505,0.05
沪深300,20211101,卖,卖出闸(收盘/中位线=1.54),4890.6851,3.8294778335597637,0.05
沪深300,20211201,卖,卖出闸(收盘/中位线=1.51),4843.851,3.603165747041857,0.05
沪深300,20220104,卖,卖出闸(收盘/中位线=1.54),4917.7653,3.475240528022739,0.05
沪深300,20220207,卖,卖出闸(收盘/中位线=1.42),4634.0899,3.1110366693245406,0.05
沪深300,20220301,卖,卖出闸(收盘/中位线=1.43),4619.6862,2.946298584005441,0.05
沪深300,20220401,卖,卖出闸(收盘/中位线=1.31),4276.158,2.590846180713392,0.05
沪深300,20220701,卖,卖出闸(收盘/中位线=1.39),4466.7179,2.5709878028272537,0.05
沪深300,20240115,买,锚买(收盘/中位线=0.99),3280.9195,40.02749810851428,0.2
沪深300,20240122,买,锚买(收盘/中位线=0.99),3218.9016,32.0341536690751,0.2
沪深300,20240123,买,恐慌抢买(fear=78),3231.9329,64.0717810005875,0.5
沪深300,20240205,买,锚买(收盘/中位线=0.96),3200.4218,12.82339115090238,0.2
沪深300,20240812,买,锚买(收盘/中位线=1.00),3325.8645,10.364373811039783,0.2
沪深300,20240826,买,锚买(收盘/中位线=1.00),3324.2231,8.297794958849567,0.2
沪深300,20240902,买,锚买(收盘/中位线=0.99),3265.011,6.640755765090461,0.2
沪深300,20240909,买,锚买(收盘/中位线=0.97),3192.9516,5.314621215670086,0.2
沪深300,20240918,买,锚买(收盘/中位线=0.95),3171.0102,4.253772093240957,0.2
沪深300,20240923,买,锚买(收盘/中位线=0.96),3212.7639,3.4039403005405884,0.2
沪深300,20250408,买,恐慌抢买(fear=87),3650.759,6.880983077544579,0.5
沪深300,20250901,卖,卖出闸(收盘/中位线=1.33),4523.7111,15.949734642169325,0.05
沪深300,20251009,卖,卖出闸(收盘/中位线=1.37),4709.482,15.774490725539312,0.05
沪深300,20251103,卖,卖出闸(收盘/中位线=1.37),4653.4028,14.807319859224162,0.05
沪深300,20251201,卖,卖出闸(收盘/中位线=1.33),4576.4856,13.834437845100522,0.05
沪深300,20260105,卖,卖出闸(收盘/中位线=1.36),4717.7457,13.54838561556017,0.05
沪深300,20260202,卖,卖出闸(收盘/中位线=1.38),4605.9799,12.566046582710742,0.05
沪深300,20260302,卖,卖出闸(收盘/中位线=1.38),4728.6688,12.255728426921788,0.05
沪深300,20260401,卖,卖出闸(收盘/中位线=1.30),4526.0668,11.14409477478346,0.05
沪深300,20260506,卖,卖出闸(收盘/中位线=1.41),4877.0932,11.407973343199297,0.05
沪深300,20260601,卖,卖出闸(收盘/中位线=1.43),4844.2556,10.764604993569062,0.05
沪深300,20260701,卖,卖出闸(收盘/中位线=1.45),4958.9773,10.468555832654006,0.05
创业板,20120702,买,锚买(收盘/中位线=0.80),741.186,20.006507054962178,0.2
创业板,20120709,买,锚买(收盘/中位线=0.81),722.281,16.011281035917882,0.2
创业板,20120716,买,锚买(收盘/中位线=0.80),691.385,12.813886987211934,0.2
创业板,20120723,买,锚买(收盘/中位线=0.78),704.573,10.25500079304719,0.2
创业板,20120730,买,锚买(收盘/中位线=0.78),688.474,8.207114778704668,0.2
创业板,20120806,买,锚买(收盘/中位线=0.80),730.419,6.568184084051939,0.2
创业板,20120813,买,锚买(收盘/中位线=0.83),727.637,5.2565418329390265,0.2
创业板,20120820,买,锚买(收盘/中位线=0.81),730.866,4.206829724600556,0.2
创业板,20120827,买,锚买(收盘/中位线=0.82),722.574,3.366741271016929,0.2
创业板,20120903,买,锚买(收盘/中位线=0.79),723.871,2.6944153978195424,0.2
创业板,20120910,买,锚买(收盘/中位线=0.85),762.313,2.156350533527689,0.2
创业板,20120917,买,锚买(收盘/中位线=0.84),724.145,1.725735247507879,0.2
创业板,20120924,买,锚买(收盘/中位线=0.78),690.338,1.3811122534048053,0.2
创业板,20121008,买,锚买(收盘/中位线=0.78),690.767,1.1057287688428177,0.2
创业板,20121015,买,锚买(收盘/中位线=0.80),701.964,0.8849187926110624,0.2
创业板,20121022,买,锚买(收盘/中位线=0.82),724.278,0.7082037580841287,0.2
创业板,20121029,买,锚买(收盘/中位线=0.78),688.12,0.566778067267156,0.2
创业板,20121105,买,锚买(收盘/中位线=0.80),692.868,0.4535945677612916,0.2
创业板,20121112,买,锚买(收盘/中位线=0.77),676.597,0.3630133976330665,0.2
创业板,20121119,买,锚买(收盘/中位线=0.75),656.936,0.29052095467433514,0.2
创业板,20121126,买,锚买(收盘/中位线=0.75),638.878,0.23250498646940018,0.2
创业板,20121203,买,锚买(收盘/中位线=0.70),593.66,0.1860745941501325,0.2
创业板,20121210,买,锚买(收盘/中位线=0.74),646.319,0.1489161807404648,0.2
创业板,20121217,买,锚买(收盘/中位线=0.76),649.612,0.11917816608770498,0.2
创业板,20121224,买,锚买(收盘/中位线=0.78),679.759,0.09537872379887802,0.2
创业板,20121231,买,锚买(收盘/中位线=0.83),713.863,0.0763319427722018,0.2
创业板,20130107,买,锚买(收盘/中位线=0.83),718.114,0.06108873399968089,0.2
创业板,20131008,卖,卖出闸(收盘/中位线=1.55),1387.663,9.67588321208225,0.05
创业板,20131202,卖,卖出闸(收盘/中位线=1.53),1253.929,8.306214860690911,0.05
创业板,20140102,卖,卖出闸(收盘/中位线=1.46),1333.003,8.388512317322819,0.05
创业板,20140207,卖,卖出闸(收盘/中位线=1.65),1532.687,9.16285678966629,0.05
创业板,20140303,卖,卖出闸(收盘/中位线=1.58),1465.139,8.321083099326302,0.05
创业板,20140401,卖,卖出闸(收盘/中位线=1.45),1355.051,7.311058797891493,0.05
创业板,20140701,卖,卖出闸(收盘/中位线=1.50),1411.736,7.236052855534691,0.05
创业板,20140901,卖,卖出闸(收盘/中位线=1.50),1452.843,7.074414976917716,0.05
创业板,20141008,卖,卖出闸(收盘/中位线=1.59),1557.568,7.205140725755902,0.05
创业板,20141103,卖,卖出闸(收盘/中位线=1.55),1529.892,6.723258822374202,0.05
创业板,20141201,卖,卖出闸(收盘/中位线=1.59),1552.306,6.480671353957135,0.05
创业板,20150105,卖,卖出闸(收盘/中位线=1.48),1464.774,5.809475036964456,0.05
创业板,20150202,卖,卖出闸(收盘/中位线=1.68),1696.829,6.39334220270328,0.05
创业板,20150302,卖,卖出闸(收盘/中位线=1.91),1986.986,7.112270816612369,0.05
创业板,20150401,卖,卖出闸(收盘/中位线=2.30),2404.909,8.177785798411772,0.05
创业板,20150504,卖,卖出闸(收盘/中位线=2.80),2845.252,9.191394904579571,0.05
创业板,20150601,卖,卖出闸(收盘/中位线=3.45),3718.753,11.412521986386619,0.05
创业板,20150701,卖,卖出闸(收盘/中位线=2.77),2759.408,8.044958685328274,0.05
创业板,20150803,卖,卖出闸(收盘/中位线=2.45),2399.273,6.645247658857422,0.05
创业板,20150901,卖,卖出闸(收盘/中位线=1.90),1889.491,4.971643019353388,0.05
创业板,20151008,卖,卖出闸(收盘/中位线=1.96),2190.311,5.475004736034621,0.05
创业板,20151102,卖,卖出闸(收盘/中位线=2.32),2432.038,5.775275104679363,0.05
创业板,20151201,卖,卖出闸(收盘/中位线=2.49),2655.345,5.990276664753214,0.05
创业板,20160104,卖,卖出闸(收盘/中位线=2.51),2491.24,5.339063660799183,0.05
创业板,20160201,卖,卖出闸(收盘/中位线=1.83),1992.695,4.0570836966644785,0.05
创业板,20160301,卖,卖出闸(收盘/中位线=1.71),1934.919,3.742480365938099,0.05
创业板,20160401,卖,卖出闸(收盘/中位线=2.02),2205.369,4.05230021155465,0.05
创业板,20160503,卖,卖出闸(收盘/中位线=1.91),2217.23,3.8703897253303423,0.05
创业板,20160601,卖,卖出闸(收盘/中位线=1.90),2168.82,3.5965911122826255,0.05
创业板,20160701,卖,卖出闸(收盘/中位线=1.93),2211.177,3.4834908238533258,0.05
创业板,20160801,卖,卖出闸(收盘/中位线=1.82),2099.179,3.1416965918690907,0.05
创业板,20160901,卖,卖出闸(收盘/中位线=1.86),2181.326,3.101408330093653,0.05
创业板,20161010,卖,卖出闸(收盘/中位线=1.79),2208.469,2.9830002235731476,0.05
创业板,20161101,卖,卖出闸(收盘/中位线=1.78),2176.447,2.7927604114956344,0.05
创业板,20161201,卖,卖出闸(收盘/中位线=1.79),2181.929,2.659805033294881,0.05
创业板,20170103,卖,卖出闸(收盘/中位线=1.59),1963.255,2.2735761585776966,0.05
创业板,20170203,卖,卖出闸(收盘/中位线=1.52),1876.7607,2.0647396612930105,0.05
创业板,20170301,卖,卖出闸(收盘/中位线=1.53),1931.9682,2.019202980194557,0.05
创业板,20170405,卖,卖出闸(收盘/中位线=1.50),1943.1602,1.9293553193544692,0.05
创业板,20170502,卖,卖出闸(收盘/中位线=1.45),1850.8493,1.7458152164523393,0.05
创业板,20180212,买,恐慌抢买(fear=79),1648.0721,118.51249670253206,0.5
创业板,20180620,买,恐慌抢买(fear=80),1563.7925,59.66890089372285,0.5
创业板,20180807,买,恐慌抢买(fear=83),1479.4408,29.912192694983172,0.5
创业板,20181009,买,恐慌抢买(fear=80),1345.9527,15.007268454866768,0.5
创业板,20181015,买,锚买(收盘/中位线=0.89),1250.2184,3.002430222180033,0.2
创业板,20181022,买,锚买(收盘/中位线=0.88),1314.9449,2.4028559281233686,0.2
创业板,20181029,买,锚买(收盘/中位线=0.89),1250.4796,1.9230144196741332,0.2
创业板,20190102,买,锚买(收盘/中位线=0.89),1228.7668,1.5438425875124828,0.2
