trade_date,pr,tr,dy,dy_pct_expanding,dy_realized
20050104,981.555,981.555,,,
20050105,986.535,986.536,,,
20050106,975.526,975.527,,,
20050107,980.717,980.718,,,
20050110,989.529,989.529,,,
20050111,990.284,990.284,,,
20050112,989.82,989.82,,,
20050113,989.733,989.733,,,
20050114,984.756,984.756,,,
20050117,961.33,961.33,,,
20050118,965.385,965.385,,,
20050119,959.25,959.25,,,
20050120,949.45,949.45,,,
20050121,976.921,976.922,,,
20050124,992.222,992.222,,,
20050125,994.673,994.674,,,
20050126,988.217,988.217,,,
20050127,976.555,976.555,,,
20050128,969.622,969.622,,,
20050131,959.102,959.102,,,
20050201,962.419,962.419,,,
20050202,1012.532,1012.532,,,
20050203,1004.114,1004.115,,,
20050204,1027.263,1027.263,,,
20050216,1034.993,1034.993,,,
20050217,1028.542,1028.543,,,
20050218,1013.775,1013.776,,,
20050221,1032.686,1032.686,,,
20050222,1054.207,1054.207,,,
20050223,1054.109,1054.11,,,
20050224,1053.407,1053.407,,,
20050225,1053.837,1053.837,,,
20050228,1047.244,1047.244,,,
20050301,1040.558,1040.559,,,
20050302,1023.222,1023.223,,,
20050303,1031.409,1031.41,,,
20050304,1027.517,1027.518,,,
20050307,1033.627,1033.628,,,
20050308,1054.096,1054.096,,,
20050309,1054.37,1054.37,,,
20050310,1027.817,1027.817,,,
20050311,1031.731,1031.731,,,
20050314,1038.416,1038.416,,,
20050315,1018.743,1018.744,,,
20050316,1008.532,1008.532,,,
20050317,996.597,996.598,,,
20050318,984.555,984.556,,,
20050321,990.67,990.67,,,
20050322,976.078,976.079,,,
20050323,970.318,970.319,,,
20050324,976.583,976.584,,,
20050325,975.01,975.011,,,
20050328,973.506,973.506,,,
20050329,968.578,968.578,,,
20050330,952.301,952.301,,,
20050331,956.039,956.039,,,
20050401,990.51,990.511,,,
20050404,972.74,972.741,,,
20050405,963.348,963.349,,,
20050406,978.03,978.03,,,
20050407,985.123,985.732,,,
20050408,1002.468,1003.495,,,
20050411,995.76,996.78,,,
20050412,981.095,982.881,,,
20050413,1003.32,1005.146,,,
20050414,995.383,997.194,,,
20050415,983.889,985.68,,,
20050418,971.471,973.239,,,
20050419,973.611,975.807,,,
20050420,966.069,968.248,,,
20050421,958.314,960.761,,,
20050422,956.405,959.001,,,
20050425,944.958,947.587,,,
20050426,947.895,950.532,,,
