trade_date,score
20150105,34.8
20150106,33.4
20150107,33.1
20150108,31.9
20150109,32.9
20150112,35.6
20150113,31.9
20150114,32.5
20150115,29.8
20150116,23.2
20150119,58.8
20150120,27.2
20150121,22.1
20150122,21.3
20150123,23.2
20150126,20.0
20150127,20.2
20150128,23.0
20150129,23.1
20150130,25.2
20150202,28.3
20150203,23.7
20150204,25.4
20150205,28.6
20150206,44.5
20150209,50.2
20150210,37.1
20150211,33.1
20150212,30.6
20150213,23.4
20150216,10.9
20150217,10.7
20150225,6.5
20150226,9.0
20150227,7.5
20150302,7.3
20150303,9.0
20150304,8.6
20150305,8.4
20150306,8.7
20150309,6.8
20150310,5.3
20150311,4.8
20150312,6.0
20150313,3.9
20150316,5.1
20150317,4.7
20150318,5.8
20150319,5.9
20150320,6.1
20150323,6.7
20150324,6.9
20150325,6.4
20150326,12.2
20150327,5.2
20150330,6.9
20150331,4.3
20150401,4.7
20150402,3.8
20150403,3.1
20150407,3.4
20150408,2.7
20150409,3.5
20150410,3.5
20150413,3.7
20150414,3.1
20150415,23.6
20150416,7.1
20150417,6.5
20150420,14.4
20150421,7.8
20150422,8.0
20150423,7.3
20150424,8.0
20150427,8.5
20150428,17.3
20150429,11.5
20150430,12.8
20150504,11.8
20150505,30.8
20150506,29.3
20150507,44.6
20150508,26.8
20150511,20.5
20150512,17.6
20150513,16.9
20150514,16.2
20150515,17.9
20150518,16.3
20150519,15.6
20150520,14.3
20150521,13.6
20150522,14.6
20150525,15.9
20150526,15.7
20150527,15.1
20150528,42.0
20150529,20.4
20150601,20.0
20150602,20.0
20150603,20.0
20150604,20.0
20150605,20.0
20150608,24.7
20150609,20.0
20150610,20.0
20150611,20.0
20150612,20.0
20150615,30.9
20150616,44.3
20150617,28.2
20150618,52.9
20150619,65.5
20150623,44.5
20150624,40.9
20150625,62.8
20150626,71.7
20150629,75.9
20150630,46.9
20150701,74.1
20150702,80.1
20150703,88.2
20150706,87.1
20150707,92.9
20150708,98.0
20150709,58.6
20150710,54.6
20150713,52.6
20150714,54.7
20150715,78.0
20150716,60.6
20150717,53.5
20150720,49.8
20150721,44.2
20150722,39.3
20150723,32.4
20150724,34.1
20150727,74.6
20150728,79.0
20150729,45.2
20150730,72.4
20150731,65.6
20150803,81.8
20150804,50.0
20150805,54.4
20150806,56.7
20150807,47.8
20150810,36.4
20150811,36.8
20150812,39.5
20150813,36.7
20150814,37.0
20150817,36.8
20150818,74.8
20150819,49.0
20150820,76.0
20150821,87.4
20150824,93.5
20150825,100.0
20150826,100.0
20150827,67.2
20150828,65.0
20150831,87.2
20150901,100.0
20150902,100.0
20150907,71.6
20150908,65.0
20150909,65.0
20150910,67.4
20150911,65.1
20150914,90.5
20150915,100.0
20150916,65.2
20150917,81.2
20150918,67.1
20150921,56.0
20150922,50.6
20150923,54.9
20150924,49.9
20150925,79.9
20150928,53.9
20150929,63.6
20150930,56.4
20151008,46.4
20151009,45.2
20151012,45.0
20151013,44.8
20151014,44.4
20151015,44.8
20151016,44.9
20151019,44.1
20151020,39.2
20151021,60.3
20151022,36.6
20151023,35.6
20151026,34.9
20151027,34.6
20151028,36.2
20151029,35.0
20151030,33.8
20151102,52.8
20151103,40.8
20151104,35.1
20151105,33.0
20151106,31.4
20151109,28.5
20151110,28.7
20151111,27.6
20151112,27.9
20151113,46.1
20151116,29.3
20151117,29.3
20151118,32.3
20151119,26.4
20151120,25.9
20151123,26.6
20151124,26.0
20151125,23.6
20151126,24.4
20151127,70.0
20151130,47.9
20151201,56.4
20151202,52.2
20151203,39.5
20151204,40.2
20151207,36.8
20151208,42.3
20151209,43.1
20151210,44.1
20151211,46.4
20151214,41.6
20151215,38.5
20151216,36.3
20151217,25.1
20151218,26.5
20151221,23.0
20151222,21.4
20151223,23.0
20151224,24.3
20151225,14.3
20151228,30.0
20151229,23.8
20151230,17.7
20151231,25.6
20160104,76.3
20160105,62.9
20160106,52.9
20160107,84.0
20160108,60.0
20160111,88.3
20160112,80.9
20160113,90.5
20160114,61.9
20160115,91.1
20160118,65.5
20160119,61.4
20160120,64.2
20160121,88.6
20160122,63.9
20160125,63.0
20160126,97.2
20160127,85.5
20160128,100.0
20160129,65.1
20160201,82.5
20160202,65.0
20160203,63.9
20160204,58.2
20160205,58.6
20160215,58.8
20160216,44.5
20160217,42.3
20160218,42.3
20160219,42.3
20160222,40.4
20160223,40.5
20160224,39.8
20160225,83.9
20160226,61.6
20160229,94.9
20160301,64.1
20160302,52.7
20160303,52.2
20160304,76.3
20160307,51.4
20160308,50.1
20160309,66.8
20160310,71.4
20160311,63.9
20160314,54.2
20160315,58.9
20160316,55.0
20160317,41.7
20160318,35.9
20160321,34.2
20160322,34.6
20160323,34.4
20160324,27.1
20160325,26.6
20160328,25.6
20160329,32.9
20160330,21.3
20160331,21.3
20160401,21.2
20160405,19.9
20160406,20.2
20160407,22.3
20160408,22.1
20160411,20.5
20160412,24.7
20160413,19.5
20160414,19.3
20160415,19.3
20160418,24.2
20160419,20.7
20160420,57.4
20160421,42.1
20160422,38.5
20160425,38.5
20160426,35.7
20160427,36.1
20160428,35.0
20160429,34.6
20160503,26.8
20160504,25.5
20160505,22.9
20160506,52.2
20160509,65.9
20160510,54.0
20160511,55.7
20160512,49.0
20160513,46.6
20160516,39.1
20160517,39.5
20160518,60.4
20160519,41.3
20160520,38.9
20160523,35.5
20160524,39.1
20160525,39.6
20160526,37.8
20160527,37.1
20160530,37.9
20160531,19.4
20160601,17.4
20160602,17.1
20160603,14.3
20160606,13.7
20160607,13.7
20160608,14.6
20160613,60.9
20160614,37.8
20160615,24.4
20160616,27.9
20160617,24.7
20160620,26.0
20160621,29.2
20160622,22.4
20160623,24.7
20160624,33.4
20160627,22.9
20160628,19.7
20160629,18.0
20160630,15.6
20160701,14.3
20160704,10.6
20160705,10.3
20160706,8.8
20160707,9.2
20160708,11.1
20160711,12.2
20160712,6.4
20160713,6.7
20160714,6.7
20160715,7.3
20160718,10.4
20160719,10.1
20160720,10.7
20160721,10.7
20160722,18.2
20160725,18.9
20160726,11.3
20160727,50.5
20160728,33.9
20160729,31.8
20160801,49.8
20160802,31.2
20160803,30.2
20160804,29.1
20160805,30.0
20160808,25.3
20160809,22.2
20160810,23.5
20160811,28.0
20160812,21.6
20160815,8.9
20160816,6.2
20160817,6.2
20160818,7.1
20160819,6.7
20160822,12.8
20160823,9.8
20160824,8.2
20160825,14.2
20160826,13.0
20160829,13.0
20160830,14.0
20160831,14.0
20160901,19.5
20160902,21.6
20160905,20.0
20160906,11.8
20160907,13.3
20160908,12.6
20160909,17.9
20160912,30.9
20160913,27.4
20160914,29.8
20160919,23.9
20160920,24.3
20160921,23.2
20160922,20.2
20160923,22.5
20160926,41.8
20160927,27.9
20160928,28.9
20160929,26.3
20160930,23.8
20161010,12.3
20161011,9.4
20161012,10.2
20161013,9.8
20161014,10.4
20161017,16.1
20161018,7.5
20161019,8.2
20161020,8.4
20161021,10.2
20161024,6.6
20161025,6.3
20161026,7.9
20161027,9.2
20161028,15.3
20161031,17.0
20161101,10.7
20161102,16.9
20161103,13.0
20161104,15.5
20161107,15.2
20161108,11.7
20161109,18.1
20161110,8.3
20161111,5.6
20161114,4.4
20161115,4.4
20161116,5.1
20161117,7.0
20161118,9.7
20161121,7.0
20161122,3.0
20161123,6.9
20161124,11.1
20161125,9.7
20161128,10.9
20161129,16.8
20161130,19.6
20161201,16.5
20161202,25.4
20161205,35.3
20161206,27.1
20161207,23.5
20161208,26.9
20161209,27.2
20161212,61.5
20161213,36.0
20161214,39.6
20161215,31.7
20161216,30.2
20161219,30.8
20161220,31.9
20161221,27.4
20161222,28.3
20161223,39.0
20161226,30.6
20161227,29.2
20161228,31.6
20161229,31.9
20161230,29.3
20170103,21.1
20170104,13.8
20170105,13.4
20170106,21.0
20170109,14.5
20170110,17.1
20170111,25.4
20170112,32.2
20170113,46.4
20170116,65.5
20170117,36.2
20170118,40.8
20170119,42.2
20170120,30.3
20170123,28.0
20170124,29.3
20170125,28.5
20170126,25.7
20170203,27.7
20170206,22.8
20170207,22.3
20170208,16.9
20170209,10.2
20170210,10.2
20170213,9.4
20170214,9.6
20170215,11.5
20170216,9.8
20170217,14.6
20170220,10.6
20170221,8.5
20170222,7.5
20170223,9.0
20170224,9.2
20170227,11.6
20170228,11.2
20170301,10.1
20170302,16.1
20170303,17.0
20170306,11.3
20170307,10.9
20170308,13.3
20170309,18.7
20170310,18.9
20170313,15.5
20170314,17.4
20170315,18.5
20170316,13.0
20170317,18.9
20170320,17.4
20170321,16.0
20170322,20.0
20170323,20.1
20170324,17.7
20170327,19.9
20170328,22.6
20170329,27.4
20170330,42.9
20170331,38.4
20170405,21.1
20170406,20.4
20170407,20.3
20170410,39.1
20170411,21.5
20170412,33.5
20170413,23.8
20170414,38.0
20170417,59.9
20170418,55.1
20170419,54.3
20170420,51.6
20170421,51.8
20170424,67.6
20170425,42.8
20170426,39.2
20170427,38.2
20170428,33.5
20170502,37.2
20170503,35.6
20170504,37.7
20170505,50.8
20170508,63.2
20170509,42.7
20170510,58.2
20170511,56.5
20170512,50.5
20170515,41.6
20170516,26.9
20170517,26.8
20170518,36.2
20170519,30.2
20170522,58.9
20170523,67.9
20170524,46.2
20170525,37.3
20170526,35.5
20170531,37.2
20170601,66.3
20170602,34.7
20170605,29.8
20170606,27.1
20170607,17.7
20170608,17.6
20170609,17.1
20170612,33.8
20170613,17.4
20170614,18.6
20170615,12.1
20170616,13.2
20170619,10.0
20170620,10.4
20170621,9.3
20170622,19.9
20170623,18.3
20170626,10.4
20170627,10.0
20170628,16.2
20170629,13.9
20170630,14.1
20170703,11.2
20170704,14.0
20170705,9.8
20170706,11.0
20170707,10.3
20170710,23.8
20170711,28.4
20170712,26.6
20170713,24.3
20170714,34.8
20170717,63.6
20170718,34.8
20170719,26.2
20170720,24.8
20170721,26.7
20170724,23.5
20170725,24.8
20170726,26.4
20170727,19.9
20170728,19.7
20170731,17.3
20170801,16.5
20170802,20.9
20170803,18.9
20170804,20.9
20170807,16.4
20170808,15.1
20170809,13.3
20170810,19.7
20170811,41.8
20170814,16.7
20170815,15.2
20170816,12.7
20170817,10.2
20170818,11.7
20170821,8.3
20170822,10.9
20170823,13.5
20170824,17.9
20170825,11.2
20170828,5.6
20170829,6.8
20170830,6.5
20170831,6.7
20170901,5.6
20170904,5.5
20170905,5.4
20170906,5.6
