code,trade_date,close
510300.SH,20211231,5.008
510300.SH,20211230,4.996
510300.SH,20211229,4.96
510300.SH,20211228,5.027
510300.SH,20211227,5.001
510300.SH,20211224,4.997
510300.SH,20211223,5.02
510300.SH,20211222,4.982
510300.SH,20211221,4.979
510300.SH,20211220,4.958
510300.SH,20211217,5.033
510300.SH,20211216,5.106
510300.SH,20211215,5.079
510300.SH,20211214,5.125
510300.SH,20211213,5.156
510300.SH,20211210,5.143
510300.SH,20211209,5.158
510300.SH,20211208,5.074
510300.SH,20211207,5.002
510300.SH,20211206,4.974
510300.SH,20211203,4.979
510300.SH,20211202,4.934
510300.SH,20211201,4.924
510300.SH,20211130,4.911
510300.SH,20211129,4.929
510300.SH,20211126,4.936
510300.SH,20211125,4.978
510300.SH,20211124,4.997
510300.SH,20211123,4.986
510300.SH,20211122,4.983
510300.SH,20211119,4.97
510300.SH,20211118,4.915
510300.SH,20211117,4.959
510300.SH,20211116,4.96
510300.SH,20211115,4.964
510300.SH,20211112,4.97
510300.SH,20211111,4.972
510300.SH,20211110,4.892
510300.SH,20211109,4.917
510300.SH,20211108,4.919
510300.SH,20211105,4.923
510300.SH,20211104,4.94
510300.SH,20211103,4.893
510300.SH,20211102,4.913
510300.SH,20211101,4.965
510300.SH,20211029,4.981
510300.SH,20211028,4.949
510300.SH,20211027,4.97
510300.SH,20211026,5.036
510300.SH,20211025,5.053
510300.SH,20211022,5.036
510300.SH,20211021,5.003
510300.SH,20211020,4.981
510300.SH,20211019,4.995
510300.SH,20211018,4.948
510300.SH,20211015,5.006
510300.SH,20211014,4.982
510300.SH,20211013,5.009
510300.SH,20211012,4.953
510300.SH,20211011,5.005
510300.SH,20211008,5.006
510300.SH,20210930,4.935
510300.SH,20210929,4.921
510300.SH,20210928,4.954
510300.SH,20210927,4.963
510300.SH,20210924,4.931
510300.SH,20210923,4.924
510300.SH,20210922,4.895
510300.SH,20210917,4.928
510300.SH,20210916,4.889
510300.SH,20210915,4.945
510300.SH,20210914,4.998
510300.SH,20210913,5.064
510300.SH,20210910,5.091
510300.SH,20210909,5.042
510300.SH,20210908,5.044
510300.SH,20210907,5.065
510300.SH,20210906,5.002
510300.SH,20210903,4.918
510300.SH,20210902,4.945
510300.SH,20210901,4.949
510300.SH,20210831,4.879
510300.SH,20210830,4.881
510300.SH,20210827,4.899
510300.SH,20210826,4.886
510300.SH,20210825,4.971
510300.SH,20210824,4.957
510300.SH,20210823,4.905
510300.SH,20210820,4.833
510300.SH,20210819,4.923
510300.SH,20210818,4.957
510300.SH,20210817,4.904
510300.SH,20210816,5.016
510300.SH,20210813,5.019
510300.SH,20210812,5.046
510300.SH,20210811,5.078
510300.SH,20210810,5.105
510300.SH,20210809,5.048
510300.SH,20210806,4.993
510300.SH,20210805,5.009
510300.SH,20210804,5.039
510300.SH,20210803,4.995
510300.SH,20210802,4.993
510300.SH,20210730,4.872
510300.SH,20210729,4.906
510300.SH,20210728,4.819
510300.SH,20210727,4.809
510300.SH,20210726,4.982
510300.SH,20210723,5.157
510300.SH,20210722,5.209
510300.SH,20210721,5.204
510300.SH,20210720,5.165
510300.SH,20210719,5.178
510300.SH,20210716,5.156
510300.SH,20210715,5.207
510300.SH,20210714,5.139
510300.SH,20210713,5.196
510300.SH,20210712,5.18
510300.SH,20210709,5.112
510300.SH,20210708,5.136
510300.SH,20210707,5.18
510300.SH,20210706,5.127
510300.SH,20210705,5.12
510300.SH,20210702,5.113
510300.SH,20210701,5.254
510300.SH,20210630,5.256
510300.SH,20210629,5.225
510300.SH,20210628,5.279
510300.SH,20210625,5.27
510300.SH,20210624,5.189
510300.SH,20210623,5.176
510300.SH,20210622,5.145
510300.SH,20210621,5.119
510300.SH,20210618,5.126
510300.SH,20210617,5.121
510300.SH,20210616,5.11
510300.SH,20210615,5.181
510300.SH,20210611,5.24
510300.SH,20210610,5.289
510300.SH,20210609,5.255
510300.SH,20210608,5.247
510300.SH,20210607,5.289
510300.SH,20210604,5.295
510300.SH,20210603,5.262
510300.SH,20210602,5.303
510300.SH,20210601,5.346
510300.SH,20210531,5.338
510300.SH,20210528,5.332
510300.SH,20210527,5.347
510300.SH,20210526,5.328
510300.SH,20210525,5.327
510300.SH,20210524,5.163
510300.SH,20210521,5.135
510300.SH,20210520,5.19
510300.SH,20210519,5.176
510300.SH,20210518,5.19
510300.SH,20210517,5.188
510300.SH,20210514,5.127
510300.SH,20210513,5.001
510300.SH,20210512,5.056
510300.SH,20210511,5.025
510300.SH,20210510,4.999
510300.SH,20210507,5.0
510300.SH,20210506,5.061
510300.SH,20210430,5.128
510300.SH,20210429,5.173
510300.SH,20210428,5.127
510300.SH,20210427,5.089
510300.SH,20210426,5.076
510300.SH,20210423,5.14
510300.SH,20210422,5.089
510300.SH,20210421,5.093
510300.SH,20210420,5.081
510300.SH,20210419,5.089
510300.SH,20210416,4.963
510300.SH,20210415,4.947
510300.SH,20210414,4.975
510300.SH,20210413,4.947
510300.SH,20210412,4.954
510300.SH,20210409,5.038
510300.SH,20210408,5.109
510300.SH,20210407,5.098
510300.SH,20210406,5.133
510300.SH,20210402,5.161
510300.SH,20210401,5.112
510300.SH,20210331,5.05
510300.SH,20210330,5.087
510300.SH,20210329,5.043
510300.SH,20210326,5.033
510300.SH,20210325,4.929
510300.SH,20210324,4.933
510300.SH,20210323,5.009
510300.SH,20210322,5.054
510300.SH,20210319,4.997
510300.SH,20210318,5.136
510300.SH,20210317,5.096
