code,trade_date,fd_share
510300.SH,20211231,1134048.769
510300.SH,20211230,1135308.77
510300.SH,20211229,1116948.77
510300.SH,20211228,1102818.77
510300.SH,20211227,1062678.77
510300.SH,20211224,1030458.77
510300.SH,20211223,1024968.77
510300.SH,20211222,1020378.77
510300.SH,20211221,1059978.77
510300.SH,20211220,1053318.77
510300.SH,20211217,985368.77
510300.SH,20211216,945498.77
510300.SH,20211215,929298.77
510300.SH,20211214,928038.77
510300.SH,20211213,903738.77
510300.SH,20211210,894648.77
510300.SH,20211209,867558.77
510300.SH,20211208,837048.77
510300.SH,20211207,829128.77
510300.SH,20211206,826428.77
510300.SH,20211203,840918.77
510300.SH,20211202,845958.77
510300.SH,20211201,845688.77
510300.SH,20211130,833988.77
510300.SH,20211129,834528.77
510300.SH,20211126,822738.77
510300.SH,20211125,822648.77
510300.SH,20211124,825168.77
510300.SH,20211123,823548.77
510300.SH,20211122,844338.77
510300.SH,20211119,864228.77
510300.SH,20211118,860898.77
510300.SH,20211117,875748.77
510300.SH,20211116,880248.77
510300.SH,20211115,865848.77
510300.SH,20211112,846588.77
510300.SH,20211111,836868.77
510300.SH,20211110,841368.77
510300.SH,20211109,845958.77
510300.SH,20211108,846948.77
510300.SH,20211105,838848.77
510300.SH,20211104,824538.77
510300.SH,20211103,831828.77
510300.SH,20211102,822378.77
510300.SH,20211101,811758.77
510300.SH,20211029,810768.77
510300.SH,20211028,792408.77
510300.SH,20211027,762618.77
510300.SH,20211026,764328.77
510300.SH,20211025,773328.77
510300.SH,20211022,766308.77
510300.SH,20211021,757668.77
510300.SH,20211020,757848.77
510300.SH,20211019,757578.77
510300.SH,20211018,773778.77
510300.SH,20211015,776568.77
510300.SH,20211014,770808.77
510300.SH,20211013,778098.77
510300.SH,20211012,782328.77
510300.SH,20211011,784308.77
510300.SH,20211008,787278.77
510300.SH,20210930,787458.769
510300.SH,20210929,798168.77
510300.SH,20210928,777468.77
510300.SH,20210927,777918.77
510300.SH,20210924,776478.77
510300.SH,20210923,756048.77
510300.SH,20210922,768918.77
510300.SH,20210917,778728.77
510300.SH,20210916,760728.77
510300.SH,20210915,739668.77
510300.SH,20210914,732378.77
510300.SH,20210913,732648.77
510300.SH,20210910,750558.77
510300.SH,20210909,733458.77
510300.SH,20210908,735438.77
510300.SH,20210907,738048.77
510300.SH,20210906,738138.77
510300.SH,20210903,755508.77
510300.SH,20210902,736698.77
510300.SH,20210901,730398.77
510300.SH,20210831,721128.77
510300.SH,20210830,717708.77
510300.SH,20210827,720858.77
510300.SH,20210826,710418.77
510300.SH,20210825,705378.77
510300.SH,20210824,715908.77
510300.SH,20210823,731478.77
510300.SH,20210820,736338.77
510300.SH,20210819,718878.77
510300.SH,20210818,728148.77
510300.SH,20210817,715908.77
510300.SH,20210816,700068.77
510300.SH,20210813,696918.77
510300.SH,20210812,690978.77
510300.SH,20210811,687828.77
510300.SH,20210810,700608.77
510300.SH,20210809,713298.77
510300.SH,20210806,715548.77
510300.SH,20210805,713568.77
510300.SH,20210804,724638.77
510300.SH,20210803,736968.77
510300.SH,20210802,745428.77
510300.SH,20210730,755688.77
510300.SH,20210729,761538.77
510300.SH,20210728,804918.77
510300.SH,20210727,803478.77
510300.SH,20210726,808788.77
510300.SH,20210723,792858.77
510300.SH,20210722,795648.77
510300.SH,20210721,799518.77
510300.SH,20210720,829848.77
510300.SH,20210719,819228.77
510300.SH,20210716,817788.77
510300.SH,20210715,831198.77
510300.SH,20210714,827868.77
510300.SH,20210713,846138.77
510300.SH,20210712,856128.77
510300.SH,20210709,881868.77
510300.SH,20210708,888798.77
510300.SH,20210707,890058.77
510300.SH,20210706,888978.77
510300.SH,20210705,878268.77
510300.SH,20210702,877998.77
510300.SH,20210701,878448.77
510300.SH,20210630,918678.769
510300.SH,20210629,932898.77
510300.SH,20210628,936408.77
510300.SH,20210625,956388.77
510300.SH,20210624,927498.77
510300.SH,20210623,927948.77
510300.SH,20210622,931728.77
510300.SH,20210621,964668.77
510300.SH,20210618,952248.77
510300.SH,20210617,965388.77
510300.SH,20210616,967008.77
510300.SH,20210615,964578.77
510300.SH,20210611,976638.77
510300.SH,20210610,970518.77
510300.SH,20210609,964128.77
510300.SH,20210608,961158.77
510300.SH,20210607,966198.77
510300.SH,20210604,975108.77
510300.SH,20210603,981408.77
510300.SH,20210602,1001658.77
510300.SH,20210601,1033608.77
510300.SH,20210531,1055658.77
510300.SH,20210528,1044318.77
510300.SH,20210527,1047378.77
510300.SH,20210526,1034148.77
510300.SH,20210525,1024068.77
510300.SH,20210524,910578.77
510300.SH,20210521,917598.77
510300.SH,20210520,929118.77
510300.SH,20210519,929298.77
510300.SH,20210518,949368.77
510300.SH,20210517,939558.77
510300.SH,20210514,910938.77
510300.SH,20210513,866838.77
510300.SH,20210512,859278.77
510300.SH,20210511,858468.77
510300.SH,20210510,846138.77
510300.SH,20210507,831468.77
510300.SH,20210506,829848.77
510300.SH,20210430,821928.77
510300.SH,20210429,812838.77
510300.SH,20210428,791238.77
510300.SH,20210427,799608.77
510300.SH,20210426,799248.77
510300.SH,20210423,816258.77
510300.SH,20210422,816978.77
510300.SH,20210421,849918.77
510300.SH,20210420,873678.77
510300.SH,20210419,888168.77
510300.SH,20210416,875928.77
510300.SH,20210415,877098.77
510300.SH,20210414,894018.77
510300.SH,20210413,868908.77
510300.SH,20210412,845058.77
510300.SH,20210409,787998.77
510300.SH,20210408,780618.77
510300.SH,20210407,782148.77
510300.SH,20210406,782508.77
510300.SH,20210402,794298.77
510300.SH,20210401,803118.77
510300.SH,20210331,813018.769
510300.SH,20210330,816618.77
510300.SH,20210329,828678.77
510300.SH,20210326,863868.77
510300.SH,20210325,864138.77
510300.SH,20210324,860088.77
510300.SH,20210323,814188.77
510300.SH,20210322,799158.77
510300.SH,20210319,814548.77
510300.SH,20210318,798078.77
510300.SH,20210317,805188.77
510300.SH,20210316,818058.77
510300.SH,20210315,815358.77
510300.SH,20210312,808608.77
510300.SH,20210311,840918.77
510300.SH,20210310,873048.77
510300.SH,20210309,868908.77
510300.SH,20210308,822018.77
510300.SH,20210305,823818.77
510300.SH,20210304,798078.77
510300.SH,20210303,771708.77
510300.SH,20210302,768198.77
510300.SH,20210301,780618.77
510300.SH,20210226,806358.77
510300.SH,20210225,792678.77
510300.SH,20210224,830658.77
510300.SH,20210223,806628.77
510300.SH,20210222,798078.77
510300.SH,20210219,776298.77
510300.SH,20210218,764058.77
510300.SH,20210210,752268.77
510300.SH,20210209,745608.77
510300.SH,20210208,757938.77
510300.SH,20210205,761448.77
510300.SH,20210204,777558.77
510300.SH,20210203,764598.77
510300.SH,20210202,778008.77
510300.SH,20210201,819138.77
510300.SH,20210129,834798.77
510300.SH,20210128,818328.77
510300.SH,20210127,812118.77
510300.SH,20210126,802218.77
510300.SH,20210125,798888.77
510300.SH,20210122,824718.77
510300.SH,20210121,854238.77
510300.SH,20210120,866748.77
510300.SH,20210119,874578.77
510300.SH,20210118,880968.77
510300.SH,20210115,882498.77
510300.SH,20210114,884478.77
510300.SH,20210113,849468.77
510300.SH,20210112,850278.77
510300.SH,20210111,865308.77
510300.SH,20210108,884748.77
510300.SH,20210107,849288.77
510300.SH,20210106,837048.77
510300.SH,20210105,838578.77
510300.SH,20210104,864498.77
