trade_date,sse,chinext,diff
20210721,3562.661,3560.046,-2.62
20210722,3574.734,3544.436,-30.3
20210723,3550.396,3469.873,-80.52
20210726,3467.441,3371.228,-96.21
20210727,3381.183,3232.839,-148.34
20210728,3361.59,3284.92,-76.67
20210729,3411.724,3459.721,48.0
20210730,3397.357,3440.182,42.82
20210802,3464.285,3493.359,29.07
20210803,3447.991,3477.229,29.24
20210804,3477.219,3563.127,85.91
20210805,3466.549,3532.5,65.95
20210806,3458.228,3490.902,32.67
20210809,3494.635,3456.747,-37.89
20210810,3529.931,3468.67,-61.26
20210811,3532.621,3437.058,-95.56
20210812,3524.737,3386.432,-138.31
20210813,3516.299,3345.126,-171.17
20210816,3517.345,3301.391,-215.95
20210817,3446.976,3224.153,-222.82
20210818,3485.286,3248.373,-236.91
20210819,3465.555,3278.357,-187.2
20210820,3427.334,3192.9,-234.43
20210823,3477.132,3293.77,-183.36
20210824,3514.471,3330.58,-183.89
20210825,3540.384,3348.662,-191.72
20210826,3501.664,3264.45,-237.21
20210827,3522.157,3257.072,-265.09
20210830,3528.151,3271.803,-256.35
20210831,3543.94,3214.117,-329.82
20210901,3567.101,3186.85,-380.25
20210902,3597.043,3138.803,-458.24
20210903,3581.734,3102.145,-479.59
20210906,3621.859,3228.088,-393.77
20210907,3676.587,3251.487,-425.1
20210908,3675.187,3219.947,-455.24
20210909,3693.13,3221.941,-471.19
20210910,3703.11,3232.01,-471.1
20210913,3715.372,3194.275,-521.1
20210914,3662.602,3236.547,-426.05
20210915,3656.223,3200.4,-455.82
20210916,3607.092,3128.845,-478.25
20210917,3613.966,3193.261,-420.7
20210922,3628.49,3164.328,-464.16
20210923,3642.22,3182.467,-459.75
20210924,3613.067,3207.817,-405.25
20210927,3582.831,3231.582,-351.25
20210928,3602.218,3211.454,-390.76
20210929,3536.294,3175.152,-361.14
20210930,3568.167,3244.646,-323.52
20211008,3592.167,3243.204,-348.96
20211011,3591.709,3196.189,-395.52
20211012,3546.936,3138.263,-408.67
20211013,3561.762,3210.159,-351.6
20211014,3558.28,3215.736,-342.54
20211015,3572.366,3276.321,-296.05
20211018,3568.138,3276.484,-291.65
20211019,3593.153,3297.293,-295.86
20211020,3587.001,3285.122,-301.88
20211021,3594.783,3279.487,-315.3
20211022,3582.604,3284.911,-297.69
20211025,3609.863,3338.624,-271.24
20211026,3597.638,3327.537,-270.1
20211027,3562.305,3308.962,-253.34
20211028,3518.417,3278.359,-240.06
20211029,3547.336,3350.665,-196.67
20211101,3544.48,3331.915,-212.57
20211102,3505.628,3339.597,-166.03
20211103,3498.537,3327.086,-171.45
20211104,3526.866,3362.249,-164.62
20211105,3491.568,3352.754,-138.81
20211108,3498.631,3380.292,-118.34
20211109,3507.002,3409.942,-97.06
20211110,3492.462,3399.663,-92.8
20211111,3532.786,3433.241,-99.55
20211112,3539.1,3430.141,-108.96
20211115,3533.303,3401.874,-131.43
20211116,3521.787,3393.715,-128.07
20211117,3537.366,3421.329,-116.04
20211118,3520.711,3383.906,-136.8
20211119,3560.373,3418.96,-141.41
20211122,3582.08,3505.727,-76.35
20211123,3589.089,3492.769,-96.32
20211124,3592.703,3478.662,-114.04
20211125,3584.179,3474.451,-109.73
20211126,3564.089,3468.866,-95.22
20211129,3562.697,3503.409,-59.29
20211130,3563.887,3495.593,-68.29
20211201,3576.885,3473.366,-103.52
20211202,3573.836,3466.914,-106.92
20211203,3607.432,3478.666,-128.77
20211206,3589.306,3405.935,-183.37
20211207,3595.088,3368.784,-226.3
20211208,3637.568,3424.704,-212.86
20211209,3673.041,3459.319,-213.72
20211210,3666.348,3466.797,-199.55
20211213,3681.082,3496.962,-184.12
20211214,3661.525,3495.06,-166.47
20211215,3647.63,3464.758,-182.87
20211216,3675.016,3490.449,-184.57
20211217,3632.364,3434.339,-198.03
20211220,3593.602,3332.606,-261.0
20211221,3625.125,3350.429,-274.7
20211222,3622.618,3368.699,-253.92
20211223,3643.339,3373.703,-269.64
20211224,3618.054,3297.106,-320.95
20211227,3615.974,3293.811,-322.16
20211228,3630.112,3328.559,-301.55
20211229,3597.0,3281.897,-315.1
20211230,3619.189,3322.795,-296.39
20211231,3639.775,3322.673,-317.1
20220104,3632.329,3250.159,-382.17
20220105,3595.176,3161.507,-433.67
20220106,3586.079,3127.48,-458.6
20220107,3579.543,3096.881,-482.66
20220110,3593.519,3095.689,-497.83
20220111,3567.441,3056.153,-511.29
20220112,3597.432,3136.685,-460.75
20220113,3555.259,3083.141,-472.12
