code,grade,first,entry_date,last_date,entry_raw,last_raw,ret_raw,ret_qfq,adj_ratio,affected
002409.SZ,A,20260611,20260612,20260724,132.99,153.95,0.15760583502518966,0.15760583502518966,1.0,False
002428.SZ,A,20260611,20260612,20260724,92.26,78.08,-0.1536960763060915,-0.15361636415353497,1.0000941885655081,False
002549.SZ,B,20260611,20260612,20260724,17.35,13.1,-0.24495677233429403,-0.24495677233429414,1.0,False
002859.SZ,B,20260611,20260612,20260724,75.28,59.38,-0.21121147715196598,-0.21121147715196598,1.0,False
300308.SZ,B,20260611,20260612,20260724,1149.0,1046.51,-0.08919930374238472,-0.08919930374238472,1.0,False
300480.SZ,B,20260611,20260612,20260724,36.13,31.66,-0.12371990035981184,-0.12371990035981184,1.0,False
300502.SZ,C,20260611,20260612,20260724,506.46,476.02,-0.06010346325474869,-0.06010346325474858,1.0,False
300666.SZ,B,20260611,20260612,20260724,274.08,229.47,-0.16276269702276702,-0.16276269702276702,1.0,False
301045.SZ,A,20260611,20260612,20260724,53.0,61.41,0.1586792452830188,0.1586792452830188,1.0,False
600183.SH,B,20260611,20260612,20260724,151.28,118.71,-0.21529613960867267,-0.21529613960867267,1.0,False
600378.SH,B,20260611,20260612,20260724,57.15,43.7,-0.2353455818022746,-0.2353455818022746,1.0,False
601958.SH,A,20260611,20260612,20260724,25.52,20.7,-0.18887147335423204,-0.18887147335423204,1.0,False
603186.SH,B,20260611,20260612,20260724,170.3,124.5,-0.2689371697005285,-0.2689371697005285,1.0,False
603993.SH,B,20260611,20260612,20260724,19.11,19.04,-0.00366300366300365,-0.003663003663003761,1.0,False
605358.SH,B,20260611,20260612,20260724,66.1,41.75,-0.3683812405446293,-0.3665873431432699,1.0028401585204756,True
688037.SH,B,20260611,20260612,20260724,255.59,342.0,0.33808051958214325,0.33808051958214325,1.0,False
688126.SH,B,20260611,20260612,20260724,29.59,25.82,-0.12740790807705304,-0.12740790807705304,1.0,False
688138.SH,B,20260611,20260612,20260724,35.32,29.74,-0.1579841449603625,-0.1561113701159651,1.0022241562711536,True
688146.SH,A,20260611,20260612,20260724,302.0,245.67,-0.1865231788079471,-0.1860436758187387,1.0005894488653109,False
688233.SH,B,20260611,20260612,20260724,104.1,104.3,0.0019212295869357465,0.0019212295869357465,1.0,False
688300.SH,B,20260611,20260612,20260724,188.06,123.5,-0.34329469318302674,-0.34329469318302663,1.0,False
688401.SH,B,20260611,20260612,20260724,75.98,66.26,-0.12792840221110813,-0.12792840221110824,1.0,False
688478.SH,B,20260611,20260612,20260724,57.8,43.7,-0.24394463667820065,-0.24394463667820054,1.0,False
688498.SH,C,20260611,20260612,20260724,1400.01,1390.0,-0.007149948928936167,-0.007149948928936167,1.0,False
688519.SH,B,20260611,20260612,20260724,297.19,223.66,-0.24741747703489347,-0.24741747703489358,1.0,False
688530.SH,B,20260611,20260612,20260724,56.68,51.26,-0.09562455892731125,-0.09562455892731136,1.0,False
688535.SH,B,20260611,20260612,20260724,119.04,103.5,-0.13054435483870974,-0.13054435483870985,1.0,False
688549.SH,B,20260611,20260612,20260724,24.85,23.61,-0.04989939637826968,-0.04989939637826968,1.0,False
