trade_date,sse,chinext,D
20100601,2568.283,973.233,1595.05
20100602,2571.423,997.119,1574.3039999999996
20100603,2552.656,998.394,1554.262
20100604,2553.593,1027.681,1525.9119999999998
20100607,2511.729,1069.468,1442.2609999999997
20100608,2513.947,1067.154,1446.7930000000001
20100609,2583.87,1077.823,1506.0469999999998
20100610,2562.58,1117.478,1445.1019999999999
20100611,2569.942,1122.199,1447.743
20100617,2560.245,1064.839,1495.406
20100618,2513.222,1000.277,1512.9450000000002
20100621,2586.21,1040.802,1545.4080000000001
20100622,2588.698,1034.995,1553.703
20100623,2569.872,1047.337,1522.5349999999999
20100624,2566.745,1050.601,1516.1439999999998
20100625,2552.817,1016.283,1536.534
20100628,2535.278,987.827,1547.4509999999998
20100629,2427.053,913.309,1513.744
20100630,2398.37,919.314,1479.056
20100701,2373.792,882.19,1491.6019999999999
20100702,2382.901,873.12,1509.781
20100705,2363.947,862.268,1501.679
20100706,2409.424,893.718,1515.7060000000001
20100707,2421.117,908.549,1512.5680000000002
20100708,2415.15,905.509,1509.641
20100709,2470.923,932.147,1538.7759999999998
20100712,2490.718,930.173,1560.5449999999998
20100713,2450.286,931.08,1519.2060000000001
20100714,2470.44,922.362,1548.078
20100715,2424.304,892.557,1531.747
20100716,2424.271,892.298,1531.9730000000002
20100719,2475.421,908.049,1567.3719999999998
20100720,2528.73,937.017,1591.713
20100721,2535.394,941.25,1594.1439999999998
20100722,2562.406,950.209,1612.1970000000001
20100723,2572.028,960.588,1611.4399999999998
20100726,2588.683,966.154,1622.529
20100727,2575.368,957.967,1617.4009999999998
20100728,2633.663,972.534,1661.129
20100729,2648.116,975.362,1672.754
20100730,2637.503,968.431,1669.0720000000001
20100802,2672.516,994.228,1678.288
20100803,2627.002,975.645,1651.357
20100804,2638.522,978.014,1660.5079999999998
20100805,2620.757,987.351,1633.406
20100806,2658.392,1011.39,1647.002
20100809,2672.533,1032.339,1640.194
20100810,2595.274,993.992,1601.282
20100811,2607.497,1004.637,1602.86
20100812,2575.475,991.777,1583.6979999999999
20100813,2606.7,1007.206,1599.4939999999997
20100816,2661.708,1030.217,1631.491
20100817,2671.893,1033.581,1638.3120000000001
20100818,2666.301,1026.722,1639.579
20100819,2687.979,1025.526,1662.4529999999997
20100820,2642.307,995.944,1646.3629999999998
20100823,2639.366,995.613,1643.753
20100824,2650.307,1004.985,1645.3219999999997
20100825,2596.58,976.878,1619.7019999999998
20100826,2603.481,980.63,1622.851
20100827,2610.742,999.456,1611.286
20100830,2652.664,1024.928,1627.736
20100831,2638.798,1025.57,1613.2279999999998
20100901,2622.882,995.586,1627.296
20100902,2655.776,1014.922,1640.8539999999998
20100903,2655.394,1036.703,1618.6909999999998
20100906,2696.25,1010.764,1685.4859999999999
20100907,2698.363,1022.622,1675.741
20100908,2695.291,1026.327,1668.9640000000002
20100909,2656.352,1021.832,1634.52
20100910,2663.209,1034.939,1628.2699999999998
20100913,2688.32,1042.482,1645.8380000000002
20100914,2688.522,1031.219,1657.3029999999999
20100915,2652.503,990.103,1662.4
20100916,2602.465,972.602,1629.8630000000003
20100917,2598.689,972.229,1626.4599999999998
20100920,2588.713,949.195,1639.518
20100921,2591.55,934.461,1657.0890000000002
20100927,2627.967,950.671,1677.296
20100928,2611.354,942.049,1669.3049999999998
20100929,2610.678,926.758,1683.9199999999998
20100930,2655.658,942.539,1713.119
20101008,2738.744,959.863,1778.881
20101011,2806.942,947.11,1859.8319999999999
20101012,2841.407,951.79,1889.6170000000002
20101013,2861.361,962.738,1898.6229999999998
20101014,2879.636,958.495,1921.141
20101015,2971.16,944.254,2026.906
20101018,2955.227,932.359,2022.868
20101019,3001.853,995.922,2005.931
20101020,3003.951,1004.542,1999.409
20101021,2983.533,991.842,1991.6909999999998
20101022,2975.043,1013.448,1961.5950000000003
20101025,3051.419,1039.054,2012.3649999999998
20101026,3041.543,1036.007,2005.536
20101027,2997.048,1030.593,1966.4549999999997
20101028,2992.579,1038.622,1953.957
20101029,2978.835,1064.522,1914.313
20101101,3054.021,1107.523,1946.4980000000003
20101102,3045.434,1075.151,1970.2830000000001
20101103,3030.988,1040.621,1990.3669999999997
20101104,3086.939,1057.714,2029.225
20101105,3129.497,1072.219,2057.278
20101108,3159.512,1107.061,2052.451
20101109,3135.0,1115.648,2019.352
20101110,3115.356,1141.582,1973.7740000000001
20101111,3147.744,1132.722,2015.0220000000002
20101112,2985.435,1082.24,1903.195
20101115,3014.413,1148.539,1865.874
20101116,2894.538,1126.175,1768.363
20101117,2838.857,1085.349,1753.508
20101118,2865.452,1102.845,1762.6070000000002
20101119,2888.566,1153.171,1735.3949999999998
20101122,2884.371,1174.938,1709.433
20101123,2828.282,1183.502,1644.7800000000002
20101124,2859.936,1208.45,1651.486
20101125,2898.261,1186.358,1711.903
